,현인원,구인인원,채용인원,미충원인원,부족인원,채용계획인원,규모,산업
0,20,0,0,0,0,0,1규모(5~9인),B05 석탄 원유 및 천연가스 광업
1,0,0,0,0,0,0,1규모(5~9인),B06 금속 광업
2,1524,77,74,3,45,44,1규모(5~9인),B07 비금속광물 광업; 연료용 제외
3,0,0,0,0,0,0,1규모(5~9인),B08 광업 지원 서비스업
4,30993,1323,1166,157,1124,828,1규모(5~9인),C10 식료품 제조업
5,650,12,12,0,34,34,1규모(5~9인),C11 음료 제조업
6,0,0,0,0,0,0,1규모(5~9인),C12 담배 제조업
7,18682,599,429,170,392,287,1규모(5~9인),C13 섬유제품 제조업; 의복 제외
8,15641,470,470,0,145,145,1규모(5~9인),C14 의복 의복 액세서리 및 모피제품 제조업
9,5062,2,2,0,2,2,1규모(5~9인),C15 가죽 가방 및 신발 제조업
10,7536,265,241,24,115,212,1규모(5~9인),C16 목재 및 나무제품 제조업; 가구 제외
11,10036,267,169,98,222,170,1규모(5~9인),C17 펄프 종이 및 종이제품 제조업
12,10821,436,436,0,326,326,1규모(5~9인),C18 인쇄 및 기록매체 복제업
13,148,0,0,0,21,0,1규모(5~9인),C19 코크스 연탄 및 석유정제품 제조업
14,16721,796,703,93,2111,2072,1규모(5~9인),C20 화학 물질 및 화학제품 제조업; 의약품 제외
15,1181,8,8,0,99,93,1규모(5~9인),C21 의료용 물질 및 의약품 제조업
16,33038,1016,1005,11,1299,1328,1규모(5~9인),C22 고무 및 플라스틱제품 제조업
17,14941,540,353,187,633,520,1규모(5~9인),C23 비금속 광물제품 제조업
18,13268,560,240,320,422,422,1규모(5~9인),C24 1차 금속 제조업
19,75116,4609,4243,366,2395,2355,1규모(5~9인),C25 금속 가공제품 제조업; 기계 및 가구 제외
20,19199,814,754,60,893,699,1규모(5~9인),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
21,16456,855,571,284,1003,888,1규모(5~9인),C27 의료 정밀 광학 기기 및 시계 제조업
22,28843,1662,1442,220,1003,964,1규모(5~9인),C28 전기장비 제조업
23,59184,3603,3154,449,2293,2343,1규모(5~9인),C29 기타 기계 및 장비 제조업
24,14757,855,796,59,391,343,1규모(5~9인),C30 자동차 및 트레일러 제조업
25,5447,418,418,0,95,95,1규모(5~9인),C31 기타 운송장비 제조업
26,11006,438,376,62,844,844,1규모(5~9인),C32 가구 제조업
27,10214,287,287,0,162,137,1규모(5~9인),C33 기타 제품 제조업
28,6085,334,290,44,103,103,1규모(5~9인),C34 산업용 기계 및 장비 수리업
29,1694,48,36,12,17,17,1규모(5~9인),D35 전기 가스 증기 및 공기 조절 공급업
30,57,0,0,0,0,0,1규모(5~9인),E36 수도업
31,2145,136,136,0,7,7,1규모(5~9인),E37 하수 폐수 및 분뇨 처리업
32,9364,394,359,35,299,293,1규모(5~9인),E38 폐기물 수집 운반 처리 및 원료 재생업
33,18,0,0,0,0,0,1규모(5~9인),E39 환경 정화 및 복원업
34,97119,11394,10618,776,1453,1471,1규모(5~9인),F41 종합 건설업
35,229019,36165,35443,722,3667,4453,1규모(5~9인),F42 전문직별 공사업
36,15691,383,198,185,247,267,1규모(5~9인),G45 자동차 및 부품 판매업
37,207108,7161,6394,767,5729,5641,1규모(5~9인),G46 도매 및 상품 중개업
38,134315,6694,6418,276,3117,3295,1규모(5~9인),G47 소매업; 자동차 제외
39,40347,1118,1111,7,259,309,1규모(5~9인),H49 육상 운송 및 파이프라인 운송업
40,1152,14,14,0,8,8,1규모(5~9인),H50 수상 운송업
41,329,0,0,0,0,0,1규모(5~9인),H51 항공 운송업
42,33359,2494,2468,26,489,497,1규모(5~9인),H52 창고 및 운송관련 서비스업
43,9221,311,311,0,251,251,1규모(5~9인),I55 숙박업
44,181024,13824,13134,690,5933,6343,1규모(5~9인),I56 음식점 및 주점업
45,25106,1550,974,576,2188,2037,1규모(5~9인),J58 출판업
46,10869,3567,3567,0,164,70,1규모(5~9인),J59 영상ㆍ오디오 기록물 제작 및 배급업
47,502,0,0,0,5,5,1규모(5~9인),J60 방송업
48,2346,24,24,0,27,27,1규모(5~9인),J61 우편 및 통신업
49,8928,92,53,39,311,311,1규모(5~9인),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
50,3362,157,87,70,133,130,1규모(5~9인),J63 정보서비스업
51,53728,944,935,9,192,172,1규모(5~9인),K64 금융업
52,15131,254,254,0,9,9,1규모(5~9인),K65 보험 및 연금업
53,21734,368,226,142,69,54,1규모(5~9인),K66 금융 및 보험관련 서비스업
54,93692,5354,5309,45,615,478,1규모(5~9인),L68 부동산업
55,8246,826,657,169,688,452,1규모(5~9인),M70 연구개발업
56,65114,3065,3065,0,1207,1264,1규모(5~9인),M71 전문 서비스업
57,33666,2156,1570,586,1912,1612,1규모(5~9인),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
58,10128,549,549,0,557,476,1규모(5~9인),M73 기타 전문 과학 및 기술 서비스업
59,15961,1453,1434,19,404,290,1규모(5~9인),N74 사업시설 관리 및 조경 서비스업
60,59861,4176,3808,368,934,2097,1규모(5~9인),N75 사업 지원 서비스업
61,11757,600,587,13,200,200,1규모(5~9인),N76 임대업; 부동산 제외
62,104176,7955,7010,945,3156,3267,1규모(5~9인),P85 교육 서비스업
63,80035,5638,5221,417,1519,1716,1규모(5~9인),Q86 보건업
64,190619,19283,18670,613,6094,5455,1규모(5~9인),Q87 사회복지 서비스업
65,6768,436,418,18,414,331,1규모(5~9인),R90 창작 예술 및 여가관련 서비스업
66,16578,1432,1126,306,444,452,1규모(5~9인),R91 스포츠 및 오락관련 서비스업
67,32199,1238,1216,22,308,278,1규모(5~9인),S94 협회 및 단체
68,24545,941,896,45,576,602,1규모(5~9인),S95 개인 및 소비용품 수리업
69,27553,2170,2060,110,635,711,1규모(5~9인),S96 기타 개인 서비스업
70,53,0,0,0,0,0,2규모(10~29인),B05 석탄 원유 및 천연가스 광업
71,0,0,0,0,0,0,2규모(10~29인),B06 금속 광업
72,4405,148,134,14,46,53,2규모(10~29인),B07 비금속광물 광업; 연료용 제외
73,62,0,0,0,0,0,2규모(10~29인),B08 광업 지원 서비스업
74,55513,4951,4347,604,2075,2199,2규모(10~29인),C10 식료품 제조업
75,626,12,12,0,0,0,2규모(10~29인),C11 음료 제조업
76,0,0,0,0,0,0,2규모(10~29인),C12 담배 제조업
77,32036,1042,986,56,169,207,2규모(10~29인),C13 섬유제품 제조업; 의복 제외
78,14844,831,747,84,561,561,2규모(10~29인),C14 의복 의복 액세서리 및 모피제품 제조업
79,5552,162,110,52,0,0,2규모(10~29인),C15 가죽 가방 및 신발 제조업
80,9562,445,278,167,62,377,2규모(10~29인),C16 목재 및 나무제품 제조업; 가구 제외
81,20880,727,684,43,392,392,2규모(10~29인),C17 펄프 종이 및 종이제품 제조업
82,13788,585,543,42,52,47,2규모(10~29인),C18 인쇄 및 기록매체 복제업
83,936,19,19,0,10,10,2규모(10~29인),C19 코크스 연탄 및 석유정제품 제조업
84,30773,1507,1302,205,706,706,2규모(10~29인),C20 화학 물질 및 화학제품 제조업; 의약품 제외
85,3109,225,218,7,0,0,2규모(10~29인),C21 의료용 물질 및 의약품 제조업
86,70258,3709,2861,848,2461,2283,2규모(10~29인),C22 고무 및 플라스틱제품 제조업
87,38747,1661,1139,522,945,890,2규모(10~29인),C23 비금속 광물제품 제조업
88,32166,1842,1397,445,889,939,2규모(10~29인),C24 1차 금속 제조업
89,109868,4754,3824,930,2929,2832,2규모(10~29인),C25 금속 가공제품 제조업; 기계 및 가구 제외
90,33950,1918,1469,449,987,1002,2규모(10~29인),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
91,24556,1186,1037,149,582,528,2규모(10~29인),C27 의료 정밀 광학 기기 및 시계 제조업
92,48386,2332,2001,331,918,959,2규모(10~29인),C28 전기장비 제조업
93,109313,4754,4069,685,3291,3276,2규모(10~29인),C29 기타 기계 및 장비 제조업
94,42580,1630,1382,248,531,500,2규모(10~29인),C30 자동차 및 트레일러 제조업
95,10896,383,369,14,102,102,2규모(10~29인),C31 기타 운송장비 제조업
96,14915,572,523,49,337,337,2규모(10~29인),C32 가구 제조업
97,11996,710,574,136,416,416,2규모(10~29인),C33 기타 제품 제조업
98,3572,150,150,0,1,49,2규모(10~29인),C34 산업용 기계 및 장비 수리업
99,3298,67,61,6,20,22,2규모(10~29인),D35 전기 가스 증기 및 공기 조절 공급업
100,1207,32,26,6,17,17,2규모(10~29인),E36 수도업
101,5493,54,54,0,32,32,2규모(10~29인),E37 하수 폐수 및 분뇨 처리업
102,21524,1180,1114,66,314,236,2규모(10~29인),E38 폐기물 수집 운반 처리 및 원료 재생업
103,127,0,0,0,0,0,2규모(10~29인),E39 환경 정화 및 복원업
104,117447,8333,8111,222,713,1000,2규모(10~29인),F41 종합 건설업
105,244504,22253,21155,1098,3541,3629,2규모(10~29인),F42 전문직별 공사업
106,27539,729,721,8,159,159,2규모(10~29인),G45 자동차 및 부품 판매업
107,227652,10807,10314,493,4032,4129,2규모(10~29인),G46 도매 및 상품 중개업
108,124535,5981,5619,362,1804,1599,2규모(10~29인),G47 소매업; 자동차 제외
109,53110,2249,1936,313,1257,1275,2규모(10~29인),H49 육상 운송 및 파이프라인 운송업
110,5014,241,241,0,21,21,2규모(10~29인),H50 수상 운송업
111,245,0,0,0,0,0,2규모(10~29인),H51 항공 운송업
112,54705,1740,1577,163,824,807,2규모(10~29인),H52 창고 및 운송관련 서비스업
113,12734,375,354,21,213,200,2규모(10~29인),I55 숙박업
114,118992,8103,7274,829,2733,3045,2규모(10~29인),I56 음식점 및 주점업
115,50221,4599,4245,354,1545,1479,2규모(10~29인),J58 출판업
116,10636,715,715,0,176,185,2규모(10~29인),J59 영상ㆍ오디오 기록물 제작 및 배급업
117,2346,128,125,3,4,28,2규모(10~29인),J60 방송업
118,8334,124,124,0,46,46,2규모(10~29인),J61 우편 및 통신업
119,18251,1048,857,191,751,792,2규모(10~29인),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
120,5584,299,299,0,367,367,2규모(10~29인),J63 정보서비스업
121,107500,2625,2223,402,578,528,2규모(10~29인),K64 금융업
122,19343,499,499,0,62,62,2규모(10~29인),K65 보험 및 연금업
123,32278,639,555,84,59,94,2규모(10~29인),K66 금융 및 보험관련 서비스업
124,94614,3710,3689,21,380,323,2규모(10~29인),L68 부동산업
125,19992,1669,1493,176,541,462,2규모(10~29인),M70 연구개발업
126,67766,3576,3474,102,783,806,2규모(10~29인),M71 전문 서비스업
127,66143,3094,2765,329,1408,1385,2규모(10~29인),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
128,12365,604,604,0,119,119,2규모(10~29인),M73 기타 전문 과학 및 기술 서비스업
129,30715,2516,2494,22,97,166,2규모(10~29인),N74 사업시설 관리 및 조경 서비스업
130,76370,4341,4246,95,1012,1044,2규모(10~29인),N75 사업 지원 서비스업
131,7910,322,295,27,564,164,2규모(10~29인),N76 임대업; 부동산 제외
132,138388,14473,14288,185,1930,1904,2규모(10~29인),P85 교육 서비스업
133,87233,7019,6152,867,2660,2663,2규모(10~29인),Q86 보건업
134,296000,33756,33227,529,4724,6012,2규모(10~29인),Q87 사회복지 서비스업
135,9952,756,751,5,287,326,2규모(10~29인),R90 창작 예술 및 여가관련 서비스업
136,33542,1576,1353,223,682,843,2규모(10~29인),R91 스포츠 및 오락관련 서비스업
137,26628,1550,1503,47,377,308,2규모(10~29인),S94 협회 및 단체
138,40087,1287,1260,27,500,504,2규모(10~29인),S95 개인 및 소비용품 수리업
139,41251,3227,3063,164,497,877,2규모(10~29인),S96 기타 개인 서비스업
140,208,0,0,0,0,0,3규모(30~99인),B05 석탄 원유 및 천연가스 광업
141,259,2,2,0,0,0,3규모(30~99인),B06 금속 광업
142,2983,97,91,6,29,29,3규모(30~99인),B07 비금속광물 광업; 연료용 제외
143,0,0,0,0,0,0,3규모(30~99인),B08 광업 지원 서비스업
144,67513,4207,3397,810,2171,2284,3규모(30~99인),C10 식료품 제조업
145,3254,272,261,11,103,103,3규모(30~99인),C11 음료 제조업
146,0,0,0,0,0,0,3규모(30~99인),C12 담배 제조업
147,31011,672,637,35,136,136,3규모(30~99인),C13 섬유제품 제조업; 의복 제외
148,13185,217,194,23,69,69,3규모(30~99인),C14 의복 의복 액세서리 및 모피제품 제조업
149,4889,80,80,0,2,2,3규모(30~99인),C15 가죽 가방 및 신발 제조업
150,2956,48,44,4,29,29,3규모(30~99인),C16 목재 및 나무제품 제조업; 가구 제외
151,20655,1685,1626,59,353,359,3규모(30~99인),C17 펄프 종이 및 종이제품 제조업
152,7607,117,99,18,18,18,3규모(30~99인),C18 인쇄 및 기록매체 복제업
153,735,0,0,0,0,0,3규모(30~99인),C19 코크스 연탄 및 석유정제품 제조업
154,42131,1652,1488,164,483,483,3규모(30~99인),C20 화학 물질 및 화학제품 제조업; 의약품 제외
155,9584,590,558,32,222,222,3규모(30~99인),C21 의료용 물질 및 의약품 제조업
156,75951,3261,2926,335,1148,1364,3규모(30~99인),C22 고무 및 플라스틱제품 제조업
157,23322,921,819,102,612,612,3규모(30~99인),C23 비금속 광물제품 제조업
158,40970,1752,1559,193,540,559,3규모(30~99인),C24 1차 금속 제조업
159,83007,3922,3368,554,1339,1339,3규모(30~99인),C25 금속 가공제품 제조업; 기계 및 가구 제외
160,49797,3033,2715,318,1902,1972,3규모(30~99인),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
161,31198,1139,1074,65,522,522,3규모(30~99인),C27 의료 정밀 광학 기기 및 시계 제조업
162,56171,2989,2977,12,600,658,3규모(30~99인),C28 전기장비 제조업
163,118571,5910,5142,768,2096,2031,3규모(30~99인),C29 기타 기계 및 장비 제조업
164,89333,3159,2725,434,837,877,3규모(30~99인),C30 자동차 및 트레일러 제조업
165,29342,1712,1661,51,594,494,3규모(30~99인),C31 기타 운송장비 제조업
166,6789,16,16,0,12,12,3규모(30~99인),C32 가구 제조업
167,7601,231,171,60,90,90,3규모(30~99인),C33 기타 제품 제조업
168,6881,226,224,2,81,81,3규모(30~99인),C34 산업용 기계 및 장비 수리업
169,17674,100,98,2,104,57,3규모(30~99인),D35 전기 가스 증기 및 공기 조절 공급업
170,2516,37,37,0,32,27,3규모(30~99인),E36 수도업
171,4540,177,172,5,46,60,3규모(30~99인),E37 하수 폐수 및 분뇨 처리업
172,24248,1227,1156,71,132,148,3규모(30~99인),E38 폐기물 수집 운반 처리 및 원료 재생업
173,169,5,5,0,0,0,3규모(30~99인),E39 환경 정화 및 복원업
174,49890,2895,2841,54,540,679,3규모(30~99인),F41 종합 건설업
175,136210,6056,5484,572,1205,1449,3규모(30~99인),F42 전문직별 공사업
176,8399,101,101,0,19,19,3규모(30~99인),G45 자동차 및 부품 판매업
177,136820,5701,5030,671,1784,1740,3규모(30~99인),G46 도매 및 상품 중개업
178,70145,3279,3116,163,786,843,3규모(30~99인),G47 소매업; 자동차 제외
179,92040,9857,5274,4583,10652,10842,3규모(30~99인),H49 육상 운송 및 파이프라인 운송업
180,4443,217,153,64,31,31,3규모(30~99인),H50 수상 운송업
181,374,0,0,0,0,0,3규모(30~99인),H51 항공 운송업
182,55847,1618,1495,123,299,340,3규모(30~99인),H52 창고 및 운송관련 서비스업
183,17456,750,684,66,353,342,3규모(30~99인),I55 숙박업
184,38096,3538,3075,463,1135,1883,3규모(30~99인),I56 음식점 및 주점업
185,56854,3427,3117,310,2180,2307,3규모(30~99인),J58 출판업
186,8496,250,250,0,30,30,3규모(30~99인),J59 영상ㆍ오디오 기록물 제작 및 배급업
187,6230,179,175,4,156,156,3규모(30~99인),J60 방송업
188,11950,29,29,0,141,141,3규모(30~99인),J61 우편 및 통신업
189,20978,1268,1083,185,379,390,3규모(30~99인),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
190,8680,806,797,9,646,646,3규모(30~99인),J63 정보서비스업
191,27093,496,481,15,181,181,3규모(30~99인),K64 금융업
192,25455,1511,1471,40,243,309,3규모(30~99인),K65 보험 및 연금업
193,15298,782,782,0,179,179,3규모(30~99인),K66 금융 및 보험관련 서비스업
194,34184,2179,2112,67,257,271,3규모(30~99인),L68 부동산업
195,27789,1278,1147,131,626,587,3규모(30~99인),M70 연구개발업
196,64150,3873,3710,163,807,1059,3규모(30~99인),M71 전문 서비스업
197,61585,3353,2986,367,1231,1254,3규모(30~99인),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
